@relation ReactionNetworkDirectedEdited-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9_clustered

@attribute Instance_number numeric
@attribute Pathway {aac00010,aac00020,aac00030,aac00040,aac00051,aac00052,aac00061,aac00071,aac00072,aac00130,aac00190,aac00230,aac00240,aac00250,aac00270,aac00280,aac00281,aac00290,aac00300,aac00310,aac00330,aac00340,aac00350,aac00360,aac00361,aac00362,aac00364,aac00380,aac00400,aac00401,aac00410,aac00430,aac00450,aac00460,aac00471,aac00473,aac00480,aac00500,aac00520,aac00521,aac00550,aac00561,aac00562,aac00564,aac00590,aac00620,aac00621,aac00622,aac00625,aac00627,aac00630,aac00640,aac00642,aac00643,aac00650,aac00660,aac00670,aac00680,aac00720,aac00730,aac00740,aac00750,aac00760,aac00770,aac00780,aac00785,aac00790,aac00860,aae00010,aae00020,aae00030,aae00040,aae00051,aae00052,aae00061,aae00071,aae00100,aae00120,aae00130,aae00190,aae00220,aae00230,aae00240,aae00251,aae00252,aae00260,aae00271,aae00272,aae00280,aae00290,aae00300,aae00310,aae00330,aae00340,aae00350,aae00360,aae00361,aae00364,aae00380,aae00400,aae00401,aae00410,aae00450,aae00460,aae00471,aae00473,aae00500,aae00520,aae00521,aae00530,aae00540,aae00550,aae00562,aae00564,aae00620,aae00627,aae00630,aae00640,aae00641,aae00650,aae00660,aae00670,aae00680,aae00710,aae00720,aae00730,aae00740,aae00750,aae00760,aae00770,aae00780,aae00785,aae00790,aae00860,aau00010,aau00020,aau00030,aau00031,aau00040,aau00051,aau00052,aau00053,aau00061,aau00071,aau00072,aau00100,aau00120,aau00130,aau00150,aau00220,aau00230,aau00240,aau00251,aau00252,aau00260,aau00271,aau00272,aau00280,aau00281,aau00290,aau00300,aau00310,aau00311,aau00330,aau00340,aau00350,aau00360,aau00361,aau00362,aau00363,aau00364,aau00380,aau00400,aau00401,aau00410,aau00430,aau00450,aau00460,aau00471,aau00473,aau00480,aau00500,aau00510,aau00520,aau00521,aau00523,aau00530,aau00531,aau00540,aau00550,aau00561,aau00562,aau00564,aau00592,aau00600,aau00603,aau00604,aau00620,aau00622,aau00623,aau00624,aau00626,aau00627,aau00628,aau00630,aau00632,aau00640,aau00641,aau00642,aau00643,aau00650,aau00660,aau00670,aau00680,aau00710,aau00720,aau00730,aau00740,aau00750,aau00760,aau00770,aau00780,aau00785,aau00790,aau00791,aau00860,aav00010,aav00020,aav00030,aav00031,aav00040,aav00051,aav00052,aav00053,aav00061,aav00071,aav00072,aav00100,aav00120,aav00130,aav00190,aav00220,aav00230,aav00240,aav00251,aav00252,aav00260,aav00271,aav00272,aav00280,aav00281,aav00290,aav00300,aav00310,aav00330,aav00340,aav00350,aav00360,aav00361,aav00362,aav00364,aav00380,aav00400,aav00401,aav00410,aav00430,aav00440,aav00450,aav00460,aav00471,aav00473,aav00480,aav00500,aav00520,aav00521,aav00523,aav00530,aav00540,aav00550,aav00561,aav00562,aav00564,aav00620,aav00624,aav00626,aav00627,aav00628,aav00630,aav00631,aav00632,aav00640,aav00641,aav00643,aav00650,aav00660,aav00670,aav00680,aav00710,aav00720}
@attribute Nodes numeric
@attribute Edges numeric
@attribute ConnectedComponents numeric
@attribute NetworkDiameter numeric
@attribute NetworkRadius numeric
@attribute CharacteristicPathLength numeric
@attribute Avg.num.Neighbours numeric
@attribute Multi-edgeNodePair numeric
@attribute NeighborhoodConnectivity numeric
@attribute Outdegree numeric
@attribute Stress numeric
@attribute SelfLoops numeric
@attribute PartnerOfMultiEdgedNodePairs numeric
@attribute EdgeCount numeric
@attribute BetweennessCentrality numeric
@attribute Indegree numeric
@attribute Eccentricity numeric
@attribute ClosenessCentrality numeric
@attribute AverageShortestPathLength numeric
@attribute ClusteringCoefficient numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,aac00010,26,43,2,7,1,3.222749,3.230769,1,4.125758,1.653846,27,0,0.076923,3.307692,0.062418,1.653846,3.923077,0.375199,2.210114,0.221154,cluster2
1,aac00020,27,52,2,10,1,3.411504,3.851852,0,4.516696,1.925926,26.62963,0,0,3.851852,0.036567,1.925926,4.074074,0.39988,2.168687,0.290197,cluster2
2,aac00030,26,53,2,6,1,2.732673,3.769231,3,4.286493,2.038462,14.961538,0,0.230769,4.076923,0.026604,2.038462,3.115385,0.430368,1.864288,0.230311,cluster2
3,aac00040,20,28,1,8,1,2.523077,2.6,1,2.936667,1.4,4.95,0,0.1,2.8,0.014474,1.4,2.45,0.481044,1.4925,0.21,cluster1
4,aac00051,15,33,1,4,2,1.858824,4.4,0,5.284206,2.2,5,0,0,4.4,0.02674,2.2,2.333333,0.518691,1.532326,0.267222,cluster3
5,aac00052,18,29,3,4,1,2.133333,3,2,3.537037,1.611111,6.944444,0,0.222222,3.222222,0.061111,1.611111,1.944444,0.473544,1.444753,0.253571,cluster1
6,aac00061,46,74,1,4,1,2.611276,3.086957,2,4.114097,1.586957,11.804348,0,0.086957,3.173913,0.005962,1.586957,1.086957,0.325266,0.890847,0.058015,cluster2
7,aac00071,37,67,2,16,1,4.360313,3.405405,0,4.198649,1.702703,34.783784,0,0,3.405405,0.031002,1.702703,5.810811,0.352584,3.354656,0.120828,cluster2
8,aac00072,8,14,1,2,1,1.263158,3.5,0,4.483333,1.75,0.875,0,0,3.5,0.014881,1.75,0.875,0.409722,0.623214,0.39375,cluster1
9,aac00130,12,11,2,6,1,2.310345,1.833333,0,2.166667,0.916667,3.166667,0,0,1.833333,0.118056,0.916667,2.166667,0.466865,1.444444,0.069444,cluster0
10,aac00190,3,2,1,2,1,1.333333,1.333333,0,1.666667,0.666667,0.333333,0,0,1.333333,0.166667,0.666667,1,0.555556,0.833333,0,cluster0
11,aac00230,65,126,4,7,1,1.924901,3.723077,0,4.107308,1.861538,3.938462,0,0,3.723077,0.011452,1.861538,2.076923,0.552044,1.346689,0.260147,cluster2
12,aac00240,40,66,3,5,1,2.035294,3.05,2,3.462917,1.575,6.45,0,0.1,3.15,0.018842,1.575,1.975,0.463336,1.26994,0.195,cluster1
13,aac00250,42,218,2,5,1,1.862069,10.190476,4,11.926529,5.190476,27.142857,0,0.190476,10.380952,0.00762,5.190476,2.285714,0.490727,1.372649,0.304048,cluster3
14,aac00270,45,101,2,13,1,4.840841,3.911111,2,4.408933,2,120.288889,0,0.088889,4,0.036439,2,4.733333,0.365007,2.702144,0.219162,cluster2
15,aac00280,22,25,5,5,1,1.816327,2.272727,0,2.965152,1.136364,1.818182,0,0,2.272727,0.020202,1.136364,1.409091,0.545394,0.954095,0.169697,cluster1
16,aac00281,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
17,aac00290,29,40,2,4,1,1.588235,2.689655,0,3.525287,1.344828,1.517241,0,0,2.689655,0.002122,1.344828,1.482759,0.618531,1.116092,0.143103,cluster1
18,aac00300,20,22,3,4,1,1.76087,2.2,0,2.749167,1.1,1.9,0,0,2.2,0.03125,1.1,1.15,0.447237,0.907917,0.105,cluster5
19,aac00310,6,3,3,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
20,aac00330,46,98,3,6,1,2.206751,3.913043,2,4.967417,2,10.782609,0,0.086957,4,0.011412,2,2.195652,0.504842,1.249674,0.175699,cluster2
21,aac00340,9,9,3,2,1,1.125,1.555556,1,1.555556,1,0.111111,0,0.222222,2,0.009259,1,0.666667,0.527778,0.592593,0,cluster5
22,aac00350,13,15,4,1,1,1,1.846154,0,2.230769,0.923077,0,0,0,1.846154,0,0.923077,0.538462,0.538462,0.538462,0.153846,cluster5
23,aac00360,10,12,3,1,1,1,1.8,0,2.066667,0.9,0,0,0,1.8,0,0.9,0.5,0.5,0.5,0.266667,cluster5
24,aac00361,5,3,2,2,1,1.25,1.2,0,1.4,0.6,0.2,0,0,1.2,0.1,0.6,0.8,0.533333,0.7,0,cluster0
25,aac00362,17,18,4,4,1,1.657143,1.882353,2,2.466667,1.058824,1.352941,0,0.235294,2.117647,0.047386,1.058824,1.411765,0.509978,1.058824,0.077451,cluster5
26,aac00364,5,3,2,1,1,1,1.2,0,1.4,0.6,0,0,0,1.2,0,0.6,0.6,0.6,0.6,0,cluster4
27,aac00380,6,3,3,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
28,aac00400,34,84,1,7,1,2.293333,4.352941,2,4.904937,2.235294,8.176471,0,0.117647,4.470588,0.005403,2.235294,1.911765,0.605995,1.444108,0.293624,cluster3
29,aac00401,2,2,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
30,aac00410,10,12,2,2,1,1.294118,2.4,0,2.98,1.2,0.5,0,0,2.4,0.016667,1.2,0.7,0.438095,0.59,0.245,cluster5
31,aac00430,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
32,aac00450,9,8,2,4,1,1.8125,1.777778,0,2.074074,0.888889,2.111111,0,0,1.777778,0.048148,0.888889,1.444444,0.626068,1.103704,0,cluster0
33,aac00460,8,9,2,1,1,1,2.25,0,2.6875,1.125,0,0,0,2.25,0,1.125,0.625,0.625,0.625,0.21875,cluster5
34,aac00471,7,7,1,3,1,1.615385,2,0,2.333333,1,1.142857,0,0,2,0.038095,1,1,0.452381,0.785714,0.166667,cluster5
35,aac00473,9,18,1,2,1,1.346154,3.777778,1,4.39418,2,1,0,0.222222,4,0.017857,2,0.888889,0.583528,0.799603,0.384921,cluster1
36,aac00480,6,4,2,1,1,1,1.333333,0,1.5,0.666667,0,0,0,1.333333,0,0.666667,0.5,0.5,0.5,0,cluster4
37,aac00500,10,6,4,1,1,1,1.2,0,1.4,0.6,0,0,0,1.2,0,0.6,0.6,0.6,0.6,0,cluster4
38,aac00520,31,60,3,3,1,1.360465,3.677419,2,4.308986,1.903226,1.741935,0,0.129032,3.806452,0.008372,1.903226,1.129032,0.613786,0.860753,0.297235,cluster1
39,aac00521,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
40,aac00550,20,23,1,9,1,3.730769,2.3,0,3.1825,1.15,23.15,0,0,2.3,0.051901,1.15,3.6,0.265532,2.575862,0.045833,cluster2
